Graduation Year,Role,Employer,Company's Industry,Role Category,Tag 1,Tag 2,Tag 3,Career Webpage,Specify Other Industry,POST,Comments,Confidence Score
2025.0,Sales And Marketing Specialist,Abenante Motor Group Inc,Other,Business & Enterprise,Marketing & Communications,Sales / Business Development,,https://www.amgmotorgroup.ca/,Automotive,PRE,,90
2025.0,Public Relations Intern,ÀLA.HAUSSE,Other,Business & Enterprise,Marketing & Communications,Internships,,https://alahausse.ca/team/,,PRE,,90
2025.0,Content Creator,Alpha Women Co.,Government and NGO's/No-Profit Organizations (NPOs),Business & Enterprise,Marketing & Communications,,,https://www.linkedin.com/company/alphawomanco/about/,,PRE,,90
2025.0,Area Manager 1,Amazon,Other,E-Commerce,E-Commerce,,,https://www.amazon.jobs/en/?utm_source=amazonblog&utm_medium=footerlink&utm_campaign=footer,E-commerce,POST,,80
2025.0,Analyst,American Express,Wealth Management,Finance & Banking,Finance & Banking,,,https://www.americanexpress.com/careers,,PRE,,80
2025.0,Associate Broker,Aon,Actuarial Science,Finance & Banking,Finance & Banking,Real Estate,Insurance,https://jobs.aon.com/,,POST,,80
2025.0,Commercial Risk Intern,Aon,Actuarial Science,Business & Enterprise,Internships,Finance & Banking,Real Estate,https://jobs.aon.com/,,PRE,,90
2025.0,Digital Marketing Assistant,APASS Education Group,Academia,Business & Enterprise,Marketing & Communications,Administration and Office Management,,https://apass.ca/joinourteam/,,PRE,,90
2025.0,Management and Marketing Intern,Aspire Lifestyles,Marketing,Business & Enterprise,Marketing & Communications,Internships,,https://www.aspirelifestyles.com/careers/,,PRE,,90
2025.0,Management and Marketing Intern,Aspire Lifestyles,Marketing,Business & Enterprise,Marketing & Communications,Internships,,https://www.aspirelifestyles.com/careers/,,PRE,,90
2025.0,Summer Intern,Bangkok Life Assurance Public Company Limited,Insurance,Business & Enterprise,Internships,,,https://career.bangkoklife.com/Default.aspx?ReturnUrl=%2f,,PRE,,90
