Graduation Year,Role,Employer,Company's Industry,Role Category,Tag 1,Tag 2,Tag 3,Career Webpage,Specify Other Industry,POST,Comments,Confidence Score
2025.0,Sales And Marketing Specialist,Abenante Motor Group Inc,Other,Marketing & Communications,Sales / Business Development,,,https://www.amgmotorgroup.ca/,Automotive,PRE,,58
2025.0,Public Relations Intern,ÀLA.HAUSSE,Other,Law,"Internships, Marketing & Communications",,,https://alahausse.ca/team/,,PRE,,67
2025.0,Content Creator,Alpha Women Co.,Government and NGO's/No-Profit Organizations (NPOs),Law,Marketing & Communications,,,https://www.linkedin.com/company/alphawomanco/about/,,PRE,,67
2025.0,Area Manager 1,Amazon,Other,E-Commerce,E-Commerce,,,https://www.amazon.jobs/en/?utm_source=amazonblog&utm_medium=footerlink&utm_campaign=footer,E-commerce,POST,,80
2025.0,Analyst,American Express,Wealth Management,Real Estate,Real Estate,,,https://www.americanexpress.com/careers,,PRE,,55
2025.0,Associate Broker,Aon,Actuarial Science,Finance & Banking,Finance & Banking,,,https://jobs.aon.com/,,POST,,80
2025.0,Commercial Risk Intern,Aon,Actuarial Science,Finance & Banking,"Internships, Insurance",,,https://jobs.aon.com/,,PRE,,80
2025.0,Digital Marketing Assistant,APASS Education Group,Academia,Marketing & Communications,Administration and Office Management,,,https://apass.ca/joinourteam/,,PRE,,54
2025.0,Management and Marketing Intern,Aspire Lifestyles,Marketing,Internships,Marketing & Communications,,,https://www.aspirelifestyles.com/careers/,,PRE,,73
2025.0,Management and Marketing Intern,Aspire Lifestyles,Marketing,Internships,Marketing & Communications,,,https://www.aspirelifestyles.com/careers/,,PRE,,73
2025.0,Summer Intern,Bangkok Life Assurance Public Company Limited,Insurance,Insurance,Internships,,,https://career.bangkoklife.com/Default.aspx?ReturnUrl=%2f,,PRE,,78
2025.0,Research Assistant,Bank of Canada,Government and NGO's/No-Profit Organizations (NPOs),Research,Administration and Office Management,,,https://www.bankofcanada.ca/careers/,,POST,,100
2025.0,Application Support Analyst Co-op,BC College of Nurses an Midwives,Health/Policy/Research,Policy,Internships,,,https://www.bccnm.ca/BCCNM/Careers/Pages/Careers_at_BCCNM.aspx,IT,PRE,,67
2025.0,Data Scientist,BC Hydro,Sustainability/Environment,Energy and Resources,Data Science & Analytics,,,https://www.bchydro.com/work-with-us.html,,PRE,,80
2025.0,Financial Analyst,BC Hydro,Sustainability/Environment,Energy and Resources,Finance & Banking,,,https://www.bchydro.com/work-with-us.html,,PRE,,80
2025.0,Financial Analyst and External Sales Coordinator,BC Hydro,Sustainability/Environment,Energy and Resources,"Project / Program Development, Sales / Business Development, Finance & Banking",,,https://www.bchydro.com/work-with-us.html,Finance- Corporate Finance,PRE,,80
2025.0,Student Ambassador,BC Hydro,Sustainability/Environment,Energy and Resources,Energy and Resources,,,https://www.bchydro.com/work-with-us.html,,PRE,,80
2025.0,Wildfire Prevention Co-op,BC Public Service,Government and NGO's/No-Profit Organizations (NPOs),E-Commerce,Internships,,,https://www2.gov.bc.ca/gov/content/careers-myhr/job-seekers/featured-careers,,PRE,,50
2025.0,Compliance Intern,BCI,Finance - Investment Banking,Internships,Internships,,,https://bci.wd10.myworkdayjobs.com/BCI_Careers,,PRE,,67
2025.0,Junior Quantitative Analyst,Beach Algorithms,Other,Data Science & Analytics,Data Science & Analytics,,,,Data Science,PRE,,54
2025.0,Financial Analyst,Beenova AI,Other,Law,Finance & Banking,,,https://www.beenova.ai/,Tech,PRE,,67
2025.0,Investment Analyst,Boann Social Impact,Finance - Investment Banking,Government,Finance & Banking,,,https://www.boann.ca/jobs,,PRE,,60
2025.0,Sales Associate,Boathouse/Blackwell Supply Company ,Other,Policy,Sales / Business Development,,,https://boathousestores.com/pages/join-us,,PRE,,50
2025.0,Smoothie Master,Body Energy Club,Other,Business & Enterprise,Business & Enterprise,,,https://www.bodyenergyclub.com/pages/career,Food,PRE,,45
2025.0,Tutor,BrightSparkz Tutors Canada,Academia,Academia,Academia,,,https://brightsparkz.ca/become-a-tutor/,,PRE,,53
2025.0,Front Desk,Cactus Club Cafe,Other,Research,"Hospitality & Retail (Food, Service Industries)",,,https://www.cactusclubcafe.com/hiring/,Food/Hospitality,POST,Started during degree,50
2025.0,Investor Relations & Operations Intern,Can Terra Financial Inc.,Finance - Corporate Finance,Law,"Internships, Operations and Supply Chain Management",,,,,PRE,,67
2025.0,Administrative Assistant,Canada Border Services Agency,Government and NGO's/No-Profit Organizations (NPOs),Transportation Services,Administration and Office Management,,,https://www.cbsa-asfc.gc.ca/menu-eng.html,,PRE,,57
2025.0,Administrative Assistant,Canada Border Services Agency,Government and NGO's/No-Profit Organizations (NPOs),Transportation Services,Administration and Office Management,,,https://www.cbsa-asfc.gc.ca/menu-eng.html,,PRE,,57
2025.0,In-Seat Runner,Canucks Sports & Entertainment (CSE),Other,Government,Government,,,https://jobs.canucks.com/?_ga=1.250402639.837776307.1469035065,Hospitality,PRE,,70
2025.0,Product Research Fellow,Circonomy,Sustainability/Environment,Research,Research,,,https://www.circonomy.co/,,PRE,,100
2025.0,Intern,Circular Impact,Sustainability/Environment,Law,Internships,,,https://www.linkedin.com/company/circular-impact-io/,,PRE,,67
2025.0,"Founder, Automation Engineer",Clarity Works,Other,Law,Technology,,,https://www.tryclarityworks.com/#contact,AI Automation,POST,Started during degree,67
2025.0,Junior Analyst,CMLS Financial,Finance - Investment Banking,Insurance,Insurance,,,https://www.cmls.ca/who-we-are/our-people,,PRE,,56
2025.0,Transformation Analyst,Community Foundations of Canada,Government and NGO's/No-Profit Organizations (NPOs),Transportation Services,Transportation Services,,,https://communityfoundations.ca/working-with-us/,,PRE,,61
2025.0,Publicity Agent Marketing Intern,Consulting Ace Inc.,Consulting,Policy,"Internships, Marketing & Communications, Consulting & Advisory",,,https://consultingace.com/,,PRE,,67
2025.0,Publicity Agent Marketing Intern,Consulting Ace Inc.,Consulting,Policy,"Internships, Marketing & Communications, Consulting & Advisory",,,https://consultingace.com/,,PRE,,67
2025.0,Translator,COVER Corporation,Other,Law,Law,,,https://cover-corp.com/en/recruit,Entertainment/Communications,POST,Started during degree,67
2025.0,Intern,Creative Consulting Group,Consulting,Consulting & Advisory,Internships,,,https://creativegp.com/,,POST,Started during degree,65
2025.0,Translator,Crimson Global Academy,Academia,Academia,Academia,,,https://crimsonacademies.school/#w-node-_7dc0e30c-6e1f-4bb7-bf02-386ff897bd91-f897bd8c,Communications,PRE,,80
2025.0,Founder and Project Lead,Dabao Penang,Government and NGO's/No-Profit Organizations (NPOs),Law,Project / Program Development,,,https://www.facebook.com/dabaopg/,,PRE,,67
2025.0,Landscaper,DALE CLARK,Entrepreneurship,Law,Law,,,,Laborer,PRE,,67
2025.0,Marketing Intern,Daxue Consulting,Consulting,Marketing & Communications,"Internships, Consulting & Advisory",,,https://daxueconsulting.com/we-recruit/,,PRE,,58
2025.0,Supply Chain and Logistics Intern,DeeBee's Organics,Other,Politics,"Internships, Operations and Supply Chain Management",,,https://www.deebeesorganics.com/pages/about-us,Food/Supply Chain Logistics,PRE,,75
2025.0,Computer Programmer,deenSTRONG Foundation,Government and NGO's/No-Profit Organizations (NPOs),Marketing & Communications,Marketing & Communications,,,https://www.deenstrong.com/careers,,PRE,,59
2025.0,Marketing Intern,deenSTRONG Foundation,Government and NGO's/No-Profit Organizations (NPOs),Government,"Internships, Marketing & Communications",,,https://www.deenstrong.com/careers,,PRE,,60
2025.0,Research Intern,Delhi School of Economics,Academia,Economics,"Internships, Research",,,http://econdse.org/permanent-positions/,,PRE,,100
2025.0,Consultant,Deloitte,Consulting,Consulting & Advisory,Consulting & Advisory,,,https://www.deloitte.com/global/en/careers/job-search.html,,PRE,,80
2025.0,"Coaching, Facilitation & Design Thinking Intern",Deloitte,Consulting,Consulting & Advisory,Internships,,,https://www.deloitte.com/global/en/careers/job-search.html,,PRE,,80
2025.0,Mid-Market Portolio Management Intern,Deloitte,Consulting,Consulting & Advisory,Internships,,,https://www.deloitte.com/global/en/careers/job-search.html,,PRE,,80
2025.0,Corporate Finance Analyst,Deloitte,Consulting,Consulting & Advisory,Finance & Banking,,,https://www.deloitte.com/global/en/careers/job-search.html,,PRE,,80
2025.0,Corporate Finance Analyst,Deloitte,Consulting,Consulting & Advisory,Finance & Banking,,,https://www.deloitte.com/global/en/careers/job-search.html,,POST,Started during degree,80
2025.0,Virtual Aerospace Course Instructor,Department of National Defense,Government and NGO's/No-Profit Organizations (NPOs),Law,Law,,,https://www.canada.ca/en/department-national-defence.html,,PRE,,67
2025.0,Head Muralist,Deschutes Painting Inc,Other,Real Estate,Real Estate,,,https://deschutespainting.com/hiring/,Creative arts,PRE,,55
2025.0,Summer Intern,Digitalife Corporation,Other,Internships,Internships,,,https://www.linkedin.com/company/digitalife-corporation/,Tech,PRE,,64
2025.0,Strategy & Planning Intern,DYNE Technologies Inc.,Data Science,Technology,"Internships, Strategy Consulting",,,https://www.dyneapp.ca/career,,PRE,,90
2025.0,Marketing Intern,Elevate Vancouver,Other,Real Estate,"Internships, Marketing & Communications",,,,"Multiple (music, real estate, consulting)",PRE,,64
