Graduation Year,Role,Employer,Company's Industry,Role Category 1,Role Category 2,Role Category 3,Role Category 4,Career Webpage,Specify Other Industry,POST,Comments
,,company name,From WCIDWMD,From WCIDWMD,,,,,,type POST or PRE,does the student continue the work they started during their degree? etc
2025,Arts Peer Advisor,UBC,Academia,Academia,,,,1,,PRE,
2025,BIE Peer Academic Advisor,The University of British Columbia,Academia,Academia,,,,2,,PRE,
2025,Business Development Coordinator,VSECC,Academia,Academia,,,,3,,PRE,
2025,Chapman Learning Commons Project Assistant,The University of British Columbia,Academia,Academia,,,,4,,PRE,
2025,Collegia Advisor - First Year Exerience Team,UBC Centre for Student Involvement & Careers,Academia,Academia,Government and NGO's/No-Profit Organizations (NPOs),Data Science,Consulting,a,,PRE,
2025,Cultural Assistant,UBC English Language Institute,Academia,Academia,,,,,,PRE,
2025,Employer & Alumni Engagement Assistant,UBC Career Centre,Academia,Academia,,,,,,PRE,
2025,First Year Experience Student Coordinator,UBC Career Centre,Academia,Academia,,,,,,PRE,
2025,Jumpstart Orientation Leader,UBC,Academia,Academia,,,,,,PRE,
2025,Junior Academics Tutor,Math Tutor Network,Academia,Academia,,,,,,PRE,
2025,Learning Technology Rover,"UBC Centre for Teaching, Learning and Technology",Academia,Academia,,,,,IT,PRE,
2025,Math Tutor,Self-employed,Entrepreneurship,Academia,,,,,,PRE,
2025,Orientation Leader,UBC,Academia,Academia,,,,,,PRE,
2025,Peer Mentor,UBC,Academia,Academia,,,,,,PRE,
2025,Program Developer,VSECC,Academia,Academia,,,,,,PRE,
2025,Program Development Coordinator,VSECC,Academia,Academia,,,,,,PRE,
2025,Research Assistant,UBC VSE,Academia,Academia,,,,,,PRE,
2025,Research Assistant,UBC VSE,Academia,Academia,,,,,,PRE,
2025,Residence Advisor,UBC ,Academia,Academia,,,,,,PRE,
2025,Senior Collegia Advisor,UBC Centre for Student Involvement & Careers,Academia,Academia,,,,,,PRE,
2025,Student Ambassador,The University of British Columbia,Academia,Academia,,,,,,PRE,
2025,Student Financial Management Assistant,UBC,Academia,Academia,,,,,,PRE,
2025,Student Trustee,Halton Catholic District School Board,Academia,Academia,,,,,,PRE,
2025,Teaching Assistant,Revera Academy,Academia,Academia,,,,,,PRE,
2025,Teaching Assistant,UBC Sauder School of Business,Academia,Academia,,,,,,PRE,
2025,Teaching Assistant,UBC Sauder School of Business,Academia,Academia,,,,,,PRE,
2025,Teaching Assistant,The University of British Columbia,Academia,Academia,,,,,,PRE,
2025,Teaching Assistant - COEC 381 (Investment Theory),UBC Sauder School of Business,Academia,Academia,,,,,,PRE,
2025,Teaching Assistant- Corporate Finance,VSE UBC,Academia,Academia,,,,,,PRE,
2025,Teaching Assistant- ECON 102 Macroeconomics,UBC,Academia,Academia,,,,,,PRE,
2025,Teaching Assistant- ECON 255,UBC,Academia,Academia,,,,,,PRE,
2025,Teaching Assistant for Enterpreneurial Finance,Sauder School of Business,Academia,Academia,,,,,,PRE,
2025,Teaching Assistant- Strategic Management (COMM 491),UBC Sauder,Academia,Academia,,,,,,PRE,
2025,Teaching Assistant-CPSC 430,UBC,Academia,Academia,,,,,,PRE,
2025,Tutor,BrightSparkz Tutors Canada,Academia,Academia,,,,,,PRE,
2025,Virtual Aerospace Course Instructor,Department of National Defense,Government and NGO's/No-Profit Organizations (NPOs),Academia,,,,,,PRE,
2025,Associate Broker,Aon,Actuarial Science,Actuarial Science,,,,,,POST,
2025,Assurance Intern,PwC,Finance - Asset Management,Actuarial Science,,,,,,PRE,
2025,Commercial Risk Intern,Aon,Actuarial Science,Actuarial Science,,,,,,PRE,
2025,Assistant Consultant,Roland Berger,Consulting,Consulting,,,,,,PRE,
2025,Associate,The Stewart Group Inc.,Consulting,Consulting,,,,,,POST,Started during degree
2025,Consultant,Deloitte,Consulting,Consulting,,,,,,PRE,
2025,"Consulting Intern, Business Transformation",EY,Finance - Corporate Finance,Consulting,,,,,,PRE,
2025,Intern,Creative Consulting Group,Consulting,Consulting,,,,,,POST,Started during degree
2025,Management Consulting Intern,KPMG,Consulting,Consulting,,,,,,PRE,
2025,Project Lead,Nutrition Opportunities Worldwide,Consulting,Consulting,,,,,,PRE,
2025,Summer Analyst,The Stewart Group Inc.,Consulting,Consulting,,,,,,PRE,
2025,Summer Consultant- Data & Analytics,PwC,Finance - Asset Management,Consulting,,,,,Data Science,PRE,
2025,Application Support Analyst Co-op,BC College of Nurses an Midwives,Health/Policy/Research,Data Science,,,,,IT,PRE,
2025,Business Analysis and Data Management Coordinator,Vancouver School of Economics Career Centre,Academia,Data Science,,,,,,POST,
2025,Business Analyst,SAP,Other,Data Science,,,,,Software Development,PRE,
2025,Computer Programmer,deenSTRONG Foundation,Government and NGO's/No-Profit Organizations (NPOs),Data Science,,,,,,PRE,
2025,Data Analyst,RBC Global Asset Management,Wealth Management,Data Science,,,,,,PRE,
2025,Data Analytics Portfolio Lead,VSECC,Academia,Data Science,,,,,,PRE,
2025,Data Scientist,BC Hydro,Sustainability/Environment,Data Science,,,,,,PRE,
2025,Gameday Operator,Sportable,Data Science,Data Science,,,,,,POST,Started during degree
2025,Junior Quantitative Analyst,Beach Algorithms,Other,Data Science,,,,,Data Science,PRE,
