,,company name,From WCIDWMD,From WCIDWMD,,,,,,type POST or PRE,does the student continue the work they started during their degree? etc
Graduation Year,Role,Employer,Company's Industry,Role Category ,Tag 1,Tag 2,Tag 3,Career Webpage,Specify Other Industry,POST,Comments
2025,Sales And Marketing Specialist,Abenante Motor Group Inc,Other,Marketing,Marketing & Communications,Sales / Business Development,,https://www.amgmotorgroup.ca/,Automotive,PRE,
2025,Public Relations Intern,ÀLA.HAUSSE,Other,Marketing,Marketing & Communications,,,https://alahausse.ca/team/,,PRE,
2025,Content Creator,Alpha Women Co.,Government and NGO's/No-Profit Organizations (NPOs),Marketing,Non-Profit Organizations (NPOs),Marketing & Communications,,https://www.linkedin.com/company/alphawomanco/about/,,PRE,
2025,Area Manager 1,Amazon,Other,Entrepreneurship,E-Commerce,Entrepreneurship,,https://www.amazon.jobs/en/?utm_source=amazonblog&utm_medium=footerlink&utm_campaign=footer,E-commerce,POST,
2025,Analyst,American Express,Wealth Management,Wealth Management,Finance & Banking,Wealth management (general banking),,https://www.americanexpress.com/careers,,PRE,
2025,Associate Broker,Aon,Actuarial Science,Actuarial Science,Actuarial Science,Insurance,,https://jobs.aon.com/,,POST,
2025,Commercial Risk Intern,Aon,Actuarial Science,Actuarial Science,Actuarial Science,Insurance,Internships,https://jobs.aon.com/,,PRE,
2025,Digital Marketing Assistant,APASS Education Group,Academia,Marketing,Academia,Marketing & Communications,,https://apass.ca/joinourteam/,,PRE,
2025,Management and Marketing Intern,Aspire Lifestyles,Marketing,Marketing,Marketing & Communications,Customer Experience and Service Management,Internships,https://www.aspirelifestyles.com/careers/,,PRE,
2025,Management and Marketing Intern,Aspire Lifestyles,Marketing,Marketing,Marketing & Communications,Customer Experience and Service Management,Internships,https://www.aspirelifestyles.com/careers/,,PRE,
2025,Summer Intern,Bangkok Life Assurance Public Company Limited,Insurance,Insurance,Insurance,Internships,,https://career.bangkoklife.com/Default.aspx?ReturnUrl=%2f,,PRE,
2025,Research Assistant,Bank of Canada,Government and NGO's/No-Profit Organizations (NPOs),Health/Policy/Research,Government,Research,Policy,https://www.bankofcanada.ca/careers/,,POST,
2025,Application Support Analyst Co-op,BC College of Nurses an Midwives,Health/Policy/Research,Data Science,Data Science & Analytics,Health and Healthcare,,https://www.bccnm.ca/BCCNM/Careers/Pages/Careers_at_BCCNM.aspx,IT,PRE,
2025,Data Scientist,BC Hydro,Sustainability/Environment,Data Science,Data Science & Analytics,Environmental and Sustainability (ESG and Climate),,https://www.bchydro.com/work-with-us.html,,PRE,
2025,Financial Analyst,BC Hydro,Sustainability/Environment,Finance - Corporate Finance,Finance & Banking,Corporate Finance,Environmental and Sustainability (ESG and Climate),https://www.bchydro.com/work-with-us.html,,PRE,
2025,Financial Analyst and External Sales Coordinator,BC Hydro,Sustainability/Environment,Finance - Sales and Trading,Finance & Banking,Sales and Trading,,https://www.bchydro.com/work-with-us.html,Finance- Corporate Finance,PRE,
2025,Student Ambassador,BC Hydro,Sustainability/Environment,Marketing,Marketing & Communications,,,https://www.bchydro.com/work-with-us.html,,PRE,
2025,Wildfire Prevention Co-op,BC Public Service,Government and NGO's/No-Profit Organizations (NPOs),Government and NGO's/No-Profit Organizations (NPOs),Government,Internships,,https://www2.gov.bc.ca/gov/content/careers-myhr/job-seekers/featured-careers,,PRE,
2025,Compliance Intern,BCI,Finance - Investment Banking,Law,Finance & Banking,Legal & Compliance,Internships,https://bci.wd10.myworkdayjobs.com/BCI_Careers,,PRE,
2025,Junior Quantitative Analyst,Beach Algorithms,Other,Data Science,Data Science & Analytics,,,N/A,Data Science,PRE,
2025,Financial Analyst,Beenova AI,Other,Finance - Corporate Finance,Finance & Banking,Corporate Finance,Technology,https://www.beenova.ai/,Tech,PRE,
2025,Investment Analyst,Boann Social Impact,Finance - Investment Banking,Finance - Investment Banking,Finance & Banking,Investment Banking,,https://www.boann.ca/jobs,,PRE,
2025,Sales Associate,Boathouse/Blackwell Supply Company ,Other,Finance - Sales and Trading,"Hospitality & Retail (Food, Service Industries)",Sales / Business Development,,https://boathousestores.com/pages/join-us,,PRE,
2025,Smoothie Master,Body Energy Club,Other,Other,"Hospitality & Retail (Food, Service Industries)",,,https://www.bodyenergyclub.com/pages/career,Food,PRE,
2025,Tutor,BrightSparkz Tutors Canada,Academia,Academia,Academia,,,https://brightsparkz.ca/become-a-tutor/,,PRE,
2025,Front Desk,Cactus Club Cafe,Other,Other,"Hospitality & Retail (Food, Service Industries)",,,https://www.cactusclubcafe.com/hiring/,Food/Hospitality,POST,Started during degree
2025,Investor Relations & Operations Intern,Can Terra Financial Inc.,Finance - Corporate Finance,Wealth Management,Finance & Banking,Corporate Finance,Internships,N/A,,PRE,
2025,Administrative Assistant,Canada Border Services Agency,Government and NGO's/No-Profit Organizations (NPOs),Government and NGO's/No-Profit Organizations (NPOs),Government,Administration and Office Management,,https://www.cbsa-asfc.gc.ca/menu-eng.html,,PRE,
2025,Administrative Assistant,Canada Border Services Agency,Government and NGO's/No-Profit Organizations (NPOs),Government and NGO's/No-Profit Organizations (NPOs),Government,Administration and Office Management,,https://www.cbsa-asfc.gc.ca/menu-eng.html,,PRE,
